,open_GE,high_GE,low_GE,close_GE,volume_GE
2024-07-22 13:45:00,162.3138,162.3238,162.2539,162.2699,6329
2024-07-22 13:46:00,162.2838,162.3636,162.2788,162.3636,39924
2024-07-22 13:47:00,162.3437,162.3457,162.3038,162.3437,8678
2024-07-22 13:48:00,162.3537,162.4336,162.3437,162.4156,6156
2024-07-22 13:49:00,162.4037,162.4536,162.3737,162.3737,7334
2024-07-22 13:50:00,162.3837,162.3837,162.3437,162.3737,8485
2024-07-22 13:51:00,162.3737,162.4735,162.3737,162.4536,7791
2024-07-22 13:52:00,162.4536,162.4536,162.3937,162.3937,4931
2024-07-22 13:53:00,162.4136,162.4835,162.3937,162.4636,6296
2024-07-22 13:54:00,162.4935,162.4935,162.4436,162.4835,3649
2024-07-22 13:55:00,162.4835,162.5135,162.4336,162.4536,25764
2024-07-22 13:56:00,162.4536,162.4536,162.3138,162.3937,13398
2024-07-22 13:57:00,162.4037,162.4037,162.3339,162.3339,4495
2024-07-22 13:58:00,162.3437,162.4136,162.3238,162.3987,10907
2024-07-22 13:59:00,162.3837,162.4735,162.3837,162.4136,16064
2024-07-22 14:00:00,162.4336,162.4636,162.4136,162.4435,6251
2024-07-22 14:01:00,162.4037,162.4336,162.3837,162.3837,5284
2024-07-22 14:02:00,162.3937,162.4037,162.3837,162.3987,5766
2024-07-22 14:03:00,162.4136,162.4436,162.3987,162.4336,6297
2024-07-22 14:04:00,162.4436,162.4636,162.3338,162.3737,7008
2024-07-22 14:05:00,162.3587,162.3837,162.3238,162.3737,9958
2024-07-22 14:06:00,162.3737,162.4037,162.2938,162.4037,14484
2024-07-22 14:07:00,162.3727,162.4386,162.3727,162.4386,4723
2024-07-22 14:08:00,162.4136,162.4636,162.4136,162.4286,8810
2024-07-22 14:09:00,162.4436,162.4835,162.4136,162.4536,5368
2024-07-22 14:10:00,162.4586,162.5434,162.4136,162.5434,26708
2024-07-22 14:11:00,162.5315,162.5494,162.4735,162.4935,10158
2024-07-22 14:12:00,162.4835,162.5434,162.4735,162.5035,18420
2024-07-22 14:13:00,162.4735,162.4935,162.3737,162.4037,22809
2024-07-22 14:14:00,162.3937,162.4935,162.3937,162.4536,8099
2024-07-22 14:15:00,162.4436,162.4636,162.4236,162.4336,6056
2024-07-22 14:16:00,162.4536,162.4536,162.3637,162.4037,12328
2024-07-22 14:17:00,162.4136,162.5035,162.4136,162.5035,11115
2024-07-22 14:18:00,162.5014,162.5335,162.4636,162.5235,15031
2024-07-22 14:19:00,162.5434,162.6034,162.5238,162.6034,10077
2024-07-22 14:20:00,162.5984,162.5984,162.4935,162.5085,8090
2024-07-22 14:21:00,162.4586,162.4735,162.3637,162.3887,4692
2024-07-22 14:22:00,162.4037,162.4037,162.2279,162.3687,27550
2024-07-22 14:23:00,162.3737,162.5335,162.3737,162.5085,25910
2024-07-22 14:24:00,162.4935,162.5335,162.4636,162.5035,23705
2024-07-22 14:25:00,162.4935,162.5235,162.4636,162.5235,6310
2024-07-22 14:26:00,162.5185,162.5434,162.4735,162.5035,11032
2024-07-22 14:27:00,162.4935,162.4935,162.3537,162.3737,18069
2024-07-22 14:28:00,162.3681,162.3681,162.2539,162.3238,14886
2024-07-22 14:29:00,162.3338,162.3637,162.1940,162.1940,21992
2024-07-22 14:30:00,162.2040,162.2938,162.1941,162.2938,15345
2024-07-22 14:31:00,162.2742,162.3188,162.2739,162.3188,21905
2024-07-22 14:32:00,162.3138,162.3138,162.2539,162.2838,19510
2024-07-22 14:33:00,162.2938,162.3837,162.2938,162.3737,9748
2024-07-22 14:34:00,162.3837,162.4136,162.3737,162.3987,9994
2024-07-22 14:35:00,162.3837,162.3837,162.2639,162.3338,9886
2024-07-22 14:36:00,162.3338,162.3537,162.3238,162.3238,4160
2024-07-22 14:37:00,162.3437,162.3834,162.3138,162.3834,7689
2024-07-22 14:38:00,162.3737,162.4231,162.2938,162.4231,11525
2024-07-22 14:39:00,162.4236,162.4286,162.3857,162.4037,9518
2024-07-22 14:40:00,162.4037,162.4436,162.3637,162.4336,5204
2024-07-22 14:41:00,162.4236,162.5534,162.4236,162.4276,44128
2024-07-22 14:42:00,162.4735,162.4735,162.3587,162.3737,5244
2024-07-22 14:43:00,162.3437,162.4536,162.3437,162.4536,5948
2024-07-22 14:44:00,162.4636,162.5434,162.4536,162.5135,7732
2024-07-22 14:45:00,162.5335,162.6233,162.5135,162.6233,29847
2024-07-22 14:46:00,162.6034,162.6932,162.5664,162.5734,19156
2024-07-22 14:47:00,162.5634,162.5834,162.5484,162.5634,10143
2024-07-22 14:48:00,162.5535,162.5834,162.5135,162.5734,14925
2024-07-22 14:49:00,162.5613,162.5834,162.5434,162.5834,7030
2024-07-22 14:50:00,162.5784,162.6433,162.5784,162.6233,10478
2024-07-22 14:51:00,162.6133,162.6133,162.4536,162.4835,12093
2024-07-22 14:52:00,162.4835,162.5035,162.4536,162.4735,5068
2024-07-22 14:53:00,162.5035,162.5135,162.4336,162.4636,16154
2024-07-22 14:54:00,162.4705,162.5135,162.4136,162.4336,10900
2024-07-22 14:55:00,162.4386,162.4386,162.4037,162.4136,6462
2024-07-22 14:56:00,162.4037,162.4336,162.3737,162.4203,105367
2024-07-22 14:57:00,162.4037,162.4436,162.3937,162.4436,7344
2024-07-22 14:58:00,162.4336,162.4536,162.4236,162.4386,9095
2024-07-22 14:59:00,162.4336,162.4536,162.4136,162.4336,7564
2024-07-22 15:00:00,162.4336,162.4336,162.2040,162.2384,30553
2024-07-22 15:01:00,162.2639,162.2739,162.1440,162.2219,25205
2024-07-22 15:02:00,162.2239,162.2239,162.1440,162.1540,8021
2024-07-22 15:03:00,162.1341,162.2838,162.1241,162.2838,10125
2024-07-22 15:04:00,162.2838,162.3238,162.2739,162.3188,9882
2024-07-22 15:05:00,162.3038,162.3887,162.2938,162.3138,9244
2024-07-22 15:06:00,162.3038,162.3038,162.2040,162.2439,6663
2024-07-22 15:07:00,162.2589,162.2938,162.2539,162.2938,1871
2024-07-22 15:08:00,162.2639,162.3038,162.2239,162.2539,308935
2024-07-22 15:09:00,162.2639,162.2838,162.2339,162.2439,3167
2024-07-22 15:10:00,162.2439,162.3138,162.2439,162.3138,7512
2024-07-22 15:11:00,162.3088,162.3637,162.3088,162.3388,6590
2024-07-22 15:12:00,162.3338,162.3937,162.3338,162.3937,3358
2024-07-22 15:13:00,162.3787,162.3937,162.3637,162.3737,10339
2024-07-22 15:14:00,162.3737,162.3937,162.3637,162.3787,7260
2024-07-22 15:15:00,162.3937,162.3937,162.3338,162.3637,19009
2024-07-22 15:16:00,162.3537,162.4436,162.3487,162.4336,9913
2024-07-22 15:17:00,162.4336,162.4536,162.3937,162.4136,12022
2024-07-22 15:18:00,162.4236,162.4735,162.4136,162.4735,7178
2024-07-22 15:19:00,162.4536,162.4735,162.3737,162.3787,8517
2024-07-22 15:20:00,162.3837,162.4236,162.3737,162.4236,12279
2024-07-22 15:21:00,162.4186,162.4935,162.3937,162.4885,11453
2024-07-22 15:22:00,162.4885,162.5335,162.4636,162.5335,11165
2024-07-22 15:23:00,162.5434,162.6233,162.5384,162.6233,6422
2024-07-22 15:24:00,162.6136,162.6832,162.6136,162.6533,18686
2024-07-22 15:25:00,162.6533,162.6633,162.6034,162.6133,13615
2024-07-22 15:26:00,162.5934,162.6083,162.4336,162.4422,12686
2024-07-22 15:27:00,162.4136,162.4636,162.3038,162.3038,12978
2024-07-22 15:28:00,162.3040,162.3637,162.2838,162.3487,11161
2024-07-22 15:29:00,162.3637,162.4136,162.3637,162.3937,12184
