,open_DE,high_DE,low_DE,close_DE,volume_DE
2024-05-24 10:52:00,371.9711,372.0307,371.8768,371.9116,2311
2024-05-24 10:53:00,371.8123,371.8123,371.7726,371.7925,1541
2024-05-24 10:54:00,371.7428,371.7428,371.7230,371.7230,1001
2024-05-24 10:55:00,371.5940,371.6138,371.5543,371.6138,1591
2024-05-24 10:56:00,371.4848,371.8322,371.3855,371.7925,21628
2024-05-24 10:57:00,371.7826,371.9314,371.7826,371.9314,1993
2024-05-24 10:58:00,372.1101,372.1845,371.9662,372.1845,3101
2024-05-24 10:59:00,372.1294,372.3483,372.1294,372.3483,1758
2024-05-24 11:00:00,372.4178,372.4178,372.3483,372.3930,1905
2024-05-24 11:01:00,372.3980,372.5717,372.3980,372.5717,2992
2024-05-24 11:03:00,372.7156,372.7851,372.3682,372.5464,7850
2024-05-24 11:04:00,372.5419,372.7057,372.5171,372.7057,3973
2024-05-24 11:05:00,372.6957,372.7652,372.5469,372.6709,4894
2024-05-24 11:06:00,372.6759,372.6759,372.4774,372.4774,6816
2024-05-24 11:07:00,372.6163,372.7851,372.5766,372.5865,4859
2024-05-24 11:08:00,372.5071,372.5816,372.4476,372.5468,3100
2024-05-24 11:09:00,372.4079,372.5171,372.2391,372.3384,3435
2024-05-24 11:10:00,372.5766,372.6858,372.2987,372.5220,6551
2024-05-24 11:11:00,372.5121,372.6659,372.3682,372.5270,1782
2024-05-24 11:12:00,372.6660,372.6660,372.3980,372.5022,3889
2024-05-24 11:13:00,372.4337,372.5270,372.3880,372.4178,4029
2024-05-24 11:14:00,372.5865,372.9637,372.5667,372.7706,11741
2024-05-24 11:15:00,373.0034,373.0134,372.9318,372.9318,1822
2024-05-24 11:16:00,372.8049,372.8099,372.5568,372.5800,5697
2024-05-24 11:17:00,372.6759,372.6759,372.5270,372.5270,2177
2024-05-24 11:18:00,372.4873,372.5515,372.4873,372.5515,1337
2024-05-24 11:19:00,372.6262,372.6262,372.4277,372.4476,2327
2024-05-24 11:20:00,372.6161,372.6161,372.3384,372.5171,3195
2024-05-24 11:21:00,372.4377,372.4377,372.2888,372.2888,1442
2024-05-24 11:22:00,372.4178,372.5581,372.4178,372.4674,3007
2024-05-24 11:23:00,372.4426,372.4426,372.4277,372.4277,621
2024-05-24 11:24:00,372.5171,372.5965,372.2193,372.5369,31072
2024-05-24 11:25:00,372.5965,372.5965,372.3682,372.5071,2867
2024-05-24 11:26:00,372.5171,372.6660,372.5171,372.6660,5704
2024-05-24 11:27:00,372.6858,372.6957,372.4674,372.4674,8654
2024-05-24 11:28:00,372.3737,372.4493,372.1101,372.1101,7399
2024-05-24 11:29:00,372.1300,372.2193,371.8620,371.8719,2867
2024-05-24 11:30:00,371.8421,371.9761,371.6833,371.6833,4659
2024-05-24 11:31:00,371.7428,371.8996,371.6138,371.8996,7727
2024-05-24 11:32:00,371.7974,372.2143,371.7826,372.2143,19353
2024-05-24 11:33:00,372.2590,372.3483,372.0704,372.1405,8195
2024-05-24 11:34:00,372.1587,372.1587,372.1587,372.1587,518
2024-05-24 11:35:00,372.1300,372.1300,371.7031,371.8223,8605
2024-05-24 11:36:00,371.8421,372.0605,371.8421,371.9761,2983
2024-05-24 11:37:00,372.2094,372.2292,372.0803,372.0803,1415
2024-05-24 11:38:00,372.2391,372.3212,371.9017,371.9314,6289
2024-05-24 11:39:00,371.9910,372.0009,371.6138,371.6138,2714
2024-05-24 11:40:00,371.7478,371.8620,371.6138,371.7577,3411
2024-05-24 11:41:00,371.7528,371.8719,371.7528,371.8719,2323
2024-05-24 11:42:00,371.9414,372.2590,371.9414,372.1895,2673
2024-05-24 11:43:00,372.1796,372.3285,372.1697,372.2689,2849
2024-05-24 11:44:00,372.4029,372.4128,372.4029,372.4128,455
2024-05-24 11:45:00,372.3812,372.4426,372.3812,372.4426,518
2024-05-24 11:46:00,372.4426,372.4426,372.0406,372.1845,7436
2024-05-24 11:47:00,372.1994,372.1994,372.0605,372.0605,334
2024-05-24 11:48:00,372.3384,372.3583,371.8719,371.8719,6054
2024-05-24 11:49:00,371.8719,371.9612,371.7230,371.7826,1853
2024-05-24 11:50:00,371.7132,371.8123,371.5840,371.6783,5176
2024-05-24 11:51:00,371.5840,371.5840,371.4451,371.4451,2209
2024-05-24 11:52:00,371.4749,371.7131,371.4749,371.6039,5163
2024-05-24 11:53:00,371.6088,371.7329,371.4451,371.4451,7347
2024-05-24 11:54:00,371.5592,371.6734,371.5592,371.5890,2851
2024-05-24 11:55:00,371.5890,371.6734,371.5146,371.5940,4373
2024-05-24 11:56:00,371.5940,371.7031,371.5245,371.5642,5856
2024-05-24 11:57:00,371.6188,372.2094,371.6188,372.2094,5710
2024-05-24 11:58:00,372.3185,372.3185,372.0108,372.1135,5457
2024-05-24 11:59:00,372.1448,372.2689,372.1448,372.2689,406
2024-05-24 12:00:00,372.0109,372.1399,372.0109,372.1101,2105
2024-05-24 12:01:00,372.2094,372.2094,372.1448,372.1448,1239
2024-05-24 12:02:00,372.1399,372.1399,372.0108,372.0108,2957
2024-05-24 12:03:00,372.0704,372.1796,371.9513,371.9662,2633
2024-05-24 12:04:00,371.8719,371.8719,371.8719,371.8719,1015
2024-05-24 12:06:00,372.0605,372.2491,371.8719,371.9960,7712
2024-05-24 12:07:00,372.0009,372.1101,371.8223,371.9017,10560
2024-05-24 12:08:00,372.0208,372.0307,371.8322,371.9215,5351
2024-05-24 12:09:00,371.8620,371.9711,371.8322,371.9711,1215
2024-05-24 12:10:00,372.0208,372.1002,371.9662,371.9910,8404
2024-05-24 12:11:00,372.1002,372.2094,372.1002,372.1349,11638
2024-05-24 12:12:00,372.1448,372.6163,372.0928,372.4572,12637
2024-05-24 12:13:00,372.4823,372.4873,372.4823,372.4873,702
2024-05-24 12:14:00,372.5468,372.5667,372.3384,372.5667,3046
2024-05-24 12:16:00,372.4476,372.6560,372.3334,372.6560,6280
2024-05-24 12:17:00,372.7255,372.7354,372.7255,372.7354,1280
2024-05-24 12:18:00,373.0034,373.0034,372.7652,372.8744,5535
2024-05-24 12:19:00,372.8347,373.1523,372.8347,373.1523,5521
2024-05-24 12:20:00,373.0630,373.0679,372.8645,372.9737,6881
2024-05-24 12:21:00,373.1027,373.1424,372.9191,372.9191,4507
2024-05-24 12:22:00,372.9340,373.3806,372.9340,373.3806,3662
2024-05-24 12:23:00,373.2119,373.2714,373.1073,373.1722,4573
2024-05-24 12:24:00,373.1722,373.4501,373.1722,373.4352,4691
2024-05-24 12:25:00,373.4949,373.5394,373.4253,373.4699,1615
2024-05-24 12:26:00,373.3707,373.3905,373.2913,373.3062,2819
2024-05-24 12:27:00,373.4600,373.4600,373.2714,373.3508,2813
