,open_KO,high_KO,low_KO,close_KO,volume_KO
2024-08-13 16:18:00,67.9272,67.9272,67.9272,67.9272,15
2024-08-13 16:19:00,67.9286,67.9286,67.8620,67.8690,46
2024-08-13 16:20:00,67.9982,67.9982,67.8939,67.8939,4516
2024-08-13 16:21:00,67.8988,67.9137,67.8988,67.9137,16
2024-08-13 16:22:00,67.9286,67.9286,67.8988,67.8988,11
2024-08-13 16:23:00,67.9286,67.9286,67.9286,67.9286,106
2024-08-13 16:24:00,67.8988,67.9286,67.8988,67.9286,18
2024-08-13 16:25:00,67.9286,67.9286,67.9137,67.9137,2
2024-08-13 16:26:00,67.8988,67.9286,67.8988,67.9286,6
2024-08-13 16:27:00,67.9137,67.9282,67.8988,67.9282,8
2024-08-13 16:28:00,67.9286,67.9286,67.9088,67.9286,25
2024-08-13 16:29:00,67.9137,67.9286,67.8988,67.8988,104
2024-08-13 16:31:00,67.9137,67.9137,67.8988,67.9137,9
2024-08-13 16:32:00,67.9286,67.9286,67.9137,67.9137,18
2024-08-13 16:33:00,67.8988,67.8988,67.8988,67.8988,1
2024-08-13 16:35:00,67.9088,67.9137,67.8988,67.9137,12
2024-08-13 16:37:00,67.9137,67.9137,67.9137,67.9137,2
2024-08-13 16:38:00,67.9088,67.9088,67.9088,67.9088,4
2024-08-13 16:39:00,67.8988,67.9137,67.8988,67.9137,2
2024-08-13 16:43:00,67.9088,67.9137,67.9088,67.9137,2
2024-08-13 16:44:00,67.9088,67.9088,67.9076,67.9076,14
2024-08-13 16:45:00,67.8690,67.9088,67.8690,67.8690,7
2024-08-13 16:46:00,67.8889,67.8889,67.8889,67.8889,1
2024-08-13 16:47:00,67.8889,67.8889,67.8690,67.8690,4
2024-08-13 16:48:00,67.9088,67.9088,67.9088,67.9088,2
2024-08-13 16:49:00,67.9088,67.9088,67.9038,67.9088,5
2024-08-13 16:50:00,67.9982,67.9982,67.9088,67.9088,29687
2024-08-13 16:51:00,67.9137,67.9137,67.8988,67.9137,28
2024-08-13 16:52:00,67.8988,67.8988,67.8988,67.8988,10
2024-08-13 16:53:00,67.9137,67.9137,67.9137,67.9137,1
2024-08-13 16:54:00,67.9278,67.9286,67.9088,67.9088,7
2024-08-13 16:55:00,67.8988,67.9137,67.8988,67.9088,25
2024-08-13 16:56:00,67.9286,67.9286,67.8992,67.8992,7
2024-08-13 16:57:00,67.9088,67.9137,67.8995,67.8995,10
2024-08-13 16:58:00,67.9088,67.9088,67.9088,67.9088,3
2024-08-13 16:59:00,67.8988,67.9286,67.8988,67.9286,4
2024-08-13 17:01:00,67.9286,67.9286,67.8988,67.9137,3
2024-08-13 17:02:00,67.9088,67.9088,67.8990,67.8990,20
2024-08-13 17:03:00,67.9286,67.9286,67.9286,67.9286,1
2024-08-13 17:04:00,67.9088,67.9137,67.9088,67.9137,12
2024-08-13 17:06:00,67.9137,67.9137,67.9137,67.9137,2
2024-08-13 17:07:00,67.9137,67.9137,67.9137,67.9137,1
2024-08-13 17:10:00,67.9286,67.9286,67.9137,67.9137,2
2024-08-13 17:11:00,67.9137,67.9137,67.9088,67.9088,3
2024-08-13 17:12:00,67.8991,67.9088,67.8988,67.8988,10
2024-08-13 17:13:00,67.9088,67.9286,67.8997,67.9137,14
2024-08-13 17:14:00,67.8988,67.8988,67.8988,67.8988,1
2024-08-13 17:15:00,67.9137,67.9137,67.9137,67.9137,1
2024-08-13 17:16:00,67.9137,67.9137,67.9088,67.9137,13
2024-08-13 17:17:00,67.9088,67.9286,67.8988,67.9137,18
2024-08-13 17:19:00,67.9137,67.9187,67.9137,67.9187,18
