,open_GOOG,high_GOOG,low_GOOG,close_GOOG,volume_GOOG
2024-05-08 18:53:00,170.6982,170.6982,170.6982,170.6982,4
2024-05-08 18:56:00,170.6982,170.7181,170.6483,170.6483,3
2024-05-08 18:57:00,170.7081,170.7081,170.6782,170.6782,214
2024-05-08 18:58:00,170.7181,170.7181,170.7181,170.7181,2
2024-05-08 18:59:00,170.6782,170.6782,170.6483,170.6483,5
2024-05-08 19:00:00,170.7181,170.7181,170.7181,170.7181,1
2024-05-08 19:01:00,170.6283,170.6283,170.5785,170.5785,125
2024-05-08 19:02:00,170.5785,170.5785,170.5785,170.5785,60
2024-05-08 19:03:00,170.6283,170.6283,170.6283,170.6283,3
2024-05-08 19:05:00,170.6682,170.6682,170.4787,170.4787,61
2024-05-08 19:06:00,170.4787,170.6583,170.4787,170.6583,31
2024-05-08 19:07:00,170.6682,170.6682,170.5735,170.5735,3
2024-05-08 19:10:00,170.6682,170.6682,170.6682,170.6682,30
2024-05-08 19:12:00,170.6233,170.6682,170.6233,170.6233,3
2024-05-08 19:13:00,170.6583,170.6583,170.6583,170.6583,5
2024-05-08 19:14:00,170.6084,170.6583,170.5785,170.6583,591
2024-05-08 19:15:00,170.5884,170.5884,170.5785,170.5785,3
2024-05-08 19:16:00,170.5785,170.5785,170.5785,170.5785,1100
2024-05-08 19:17:00,170.5884,170.6583,170.5884,170.6583,300
2024-05-08 19:18:00,170.5535,170.5535,170.5535,170.5535,2
2024-05-08 19:19:00,170.5785,170.5785,170.5535,170.5785,118
2024-05-08 19:20:00,170.5785,170.5984,170.5785,170.5984,7
2024-05-08 19:21:00,170.5984,170.5984,170.5984,170.5984,6
2024-05-08 19:22:00,170.5685,170.5685,170.5685,170.5685,2
2024-05-08 19:24:00,170.5785,170.5785,170.4987,170.4987,901
2024-05-08 19:25:00,170.4987,170.4987,170.4787,170.4787,1329
2024-05-08 19:26:00,170.5485,170.5485,170.5485,170.5485,1
2024-05-08 19:29:00,170.5485,170.6583,170.5485,170.5485,61
2024-05-08 19:32:00,170.5435,170.5435,170.4288,170.5435,4
2024-05-08 19:33:00,170.4488,170.5485,170.4488,170.5485,9
2024-05-08 19:35:00,170.5435,170.5435,170.5435,170.5435,1
2024-05-08 19:36:00,170.5186,170.5984,170.4887,170.4887,25
2024-05-08 19:37:00,170.5435,170.6583,170.4388,170.5485,42
2024-05-08 19:38:00,170.5485,170.5485,170.5036,170.5036,12
2024-05-08 19:40:00,170.4288,170.5785,170.4288,170.4288,31
2024-05-08 19:42:00,170.4987,170.5785,170.4987,170.5685,235
2024-05-08 19:43:00,170.5685,170.5685,170.5685,170.5685,1
2024-05-08 19:44:00,170.5785,170.6982,170.5785,170.5785,533
2024-05-08 19:46:00,170.5735,170.5735,170.5735,170.5735,1
2024-05-08 19:47:00,170.6583,170.6583,170.5735,170.5735,2
2024-05-08 19:48:00,170.5785,170.6782,170.5785,170.6782,96
2024-05-08 19:49:00,170.6283,170.6283,170.4787,170.5685,38
2024-05-08 19:50:00,170.5685,170.5735,170.5685,170.5685,20
2024-05-08 19:51:00,170.5685,170.5685,170.5685,170.5685,2
2024-05-08 19:53:00,170.5685,170.5685,170.3989,170.3989,377
2024-05-08 19:54:00,170.4837,170.5286,170.4837,170.4837,7
2024-05-08 19:55:00,170.5086,170.5685,170.3989,170.3989,116
2024-05-08 19:56:00,170.5685,170.5685,170.3989,170.5685,226
2024-05-08 19:57:00,170.4588,170.5685,170.3989,170.5685,222
2024-05-08 19:58:00,170.5685,170.5685,170.2792,170.3789,284
2024-05-08 19:59:00,170.3690,170.3789,170.2892,170.3690,663
2024-05-09 04:00:00,170.3690,170.8079,170.3690,170.6782,139
2024-05-09 04:01:00,170.6782,170.6882,170.6782,170.6882,48
2024-05-09 04:03:00,170.5785,170.5785,170.5685,170.5685,39
2024-05-09 04:04:00,170.4588,170.4588,170.4488,170.4488,25
2024-05-09 04:05:00,170.5785,170.5785,170.5685,170.5785,35
2024-05-09 04:07:00,170.4588,170.4588,170.4588,170.4588,1
2024-05-09 04:08:00,170.5685,170.5785,170.5685,170.5785,35
2024-05-09 04:10:00,170.6084,170.6084,170.6084,170.6084,88
2024-05-09 04:13:00,170.6084,170.6084,170.6084,170.6084,1
2024-05-09 04:16:00,170.5685,170.5785,170.5685,170.5785,30
2024-05-09 04:17:00,170.4588,170.4887,170.3989,170.4588,31
2024-05-09 04:20:00,170.4488,170.4488,170.4488,170.4488,2
2024-05-09 04:23:00,170.5485,170.5785,170.5485,170.5785,15
2024-05-09 04:25:00,170.5685,170.5685,170.5685,170.5685,29
2024-05-09 04:26:00,170.5485,170.5785,170.5485,170.5785,105
2024-05-09 04:34:00,170.4987,170.5186,170.4987,170.5186,200
2024-05-09 04:38:00,170.4488,170.4488,170.3789,170.3789,83
2024-05-09 04:39:00,170.3789,170.3789,170.3789,170.3789,10
2024-05-09 04:41:00,170.3889,170.3889,170.3889,170.3889,2
2024-05-09 04:46:00,170.4189,170.4787,170.4189,170.4787,296
2024-05-09 04:47:00,170.4687,170.4687,170.4687,170.4687,14
2024-05-09 04:48:00,170.4488,170.4687,170.4488,170.4687,29
2024-05-09 04:49:00,170.4687,170.4687,170.4687,170.4687,6
2024-05-09 04:50:00,170.4687,170.4687,170.4687,170.4687,66
2024-05-09 04:51:00,170.3789,170.4388,170.3789,170.4388,101
2024-05-09 04:52:00,170.4687,170.5585,170.4687,170.5585,854
2024-05-09 04:53:00,170.5585,170.5585,170.5585,170.5585,4
2024-05-09 04:55:00,170.4787,170.4787,170.4787,170.4787,24
2024-05-09 05:05:00,170.4687,170.4687,170.4687,170.4687,1
2024-05-09 05:08:00,170.5286,170.5286,170.5286,170.5286,1
2024-05-09 05:12:00,170.5186,170.5186,170.5186,170.5186,10
