,open_F,high_F,low_F,close_F,volume_F
2024-04-18 16:37:00,11.7428,11.7428,11.7379,11.7379,6
2024-04-18 16:38:00,11.7330,11.7428,11.7330,11.7428,1201
2024-04-18 16:39:00,11.7428,11.7428,11.7379,11.7379,29
2024-04-18 16:40:00,11.7428,11.7428,11.7379,11.7428,59
2024-04-18 16:41:00,11.7330,11.7428,11.7330,11.7379,27
2024-04-18 16:42:00,11.7379,11.7379,11.7330,11.7379,2003
2024-04-18 16:43:00,11.7379,11.7379,11.7330,11.7379,17
2024-04-18 16:44:00,11.7379,11.7379,11.7379,11.7379,4
2024-04-18 16:45:00,11.7428,11.7428,11.7282,11.7282,20
2024-04-18 16:46:00,11.7282,11.7330,11.7233,11.7233,1556
2024-04-18 16:47:00,11.7282,11.7330,11.7282,11.7282,10
2024-04-18 16:48:00,11.7282,11.7330,11.7233,11.7282,111
2024-04-18 16:49:00,11.7282,11.7525,11.7233,11.7330,36490
2024-04-18 16:50:00,11.7282,11.7379,11.7235,11.7379,105606
2024-04-18 16:51:00,11.7476,11.7622,11.7330,11.7476,23
2024-04-18 16:52:00,11.7525,11.7622,11.7330,11.7476,337
2024-04-18 16:53:00,11.7330,11.7428,11.7330,11.7379,89
2024-04-18 16:54:00,11.7379,11.7428,11.7330,11.7379,9209
2024-04-18 16:55:00,11.7428,11.7428,11.7330,11.7330,122
2024-04-18 16:56:00,11.7379,11.7428,11.7330,11.7428,418
2024-04-18 16:57:00,11.7379,11.7428,11.7330,11.7428,28
2024-04-18 16:58:00,11.7379,11.7428,11.7379,11.7379,190
2024-04-18 16:59:00,11.7428,11.7428,11.7379,11.7379,325
2024-04-18 17:00:00,11.7379,11.7428,11.7379,11.7379,95
2024-04-18 17:01:00,11.7379,11.7428,11.7379,11.7379,8
2024-04-18 17:02:00,11.7379,11.7428,11.7330,11.7379,45
2024-04-18 17:03:00,11.7379,11.7427,11.7330,11.7427,16
2024-04-18 17:04:00,11.7379,11.7428,11.7330,11.7379,10577
2024-04-18 17:05:00,11.7428,11.7428,11.7379,11.7379,6
2024-04-18 17:06:00,11.7379,11.7428,11.7331,11.7331,267
2024-04-18 17:08:00,11.7330,11.7330,11.7330,11.7330,7
2024-04-18 17:09:00,11.7330,11.7379,11.7330,11.7379,8
2024-04-18 17:10:00,11.7428,11.7428,11.7330,11.7330,13
2024-04-18 17:11:00,11.7379,11.7428,11.7330,11.7330,1052
2024-04-18 17:13:00,11.7330,11.7428,11.7330,11.7428,216
2024-04-18 17:14:00,11.7428,11.7525,11.7428,11.7428,67
2024-04-18 17:15:00,11.7330,11.7525,11.7330,11.7330,100
2024-04-18 17:16:00,11.7428,11.7525,11.7428,11.7522,104
2024-04-18 17:17:00,11.7428,11.7525,11.7428,11.7525,52
2024-04-18 17:18:00,11.7428,11.7525,11.7428,11.7525,14
2024-04-18 17:19:00,11.7429,11.7525,11.7350,11.7525,41764
2024-04-18 17:20:00,11.7525,11.7525,11.7428,11.7430,241
2024-04-18 17:21:00,11.7525,11.7525,11.7428,11.7428,12
