,open_JNJ,high_JNJ,low_JNJ,close_JNJ,volume_JNJ
2024-05-03 11:41:00,146.1999,146.2393,146.1999,146.2294,8604
2024-05-03 11:42:00,146.2196,146.2688,146.1999,146.2590,12843
2024-05-03 11:43:00,146.2590,146.2590,146.2196,146.2294,6299
2024-05-03 11:44:00,146.2196,146.2196,146.1212,146.1704,14100
2024-05-03 11:45:00,146.1999,146.2097,146.1851,146.1901,4624
2024-05-03 11:46:00,146.1851,146.2590,146.1802,146.2393,7915
2024-05-03 11:47:00,146.2393,146.2485,146.1605,146.1704,4768
2024-05-03 11:48:00,146.1999,146.2196,146.1901,146.1999,4897
2024-05-03 11:49:00,146.2073,146.2590,146.2073,146.2491,4192
2024-05-03 11:50:00,146.2590,146.3279,146.2590,146.2983,6763
2024-05-03 11:51:00,146.3082,146.3180,146.2491,146.2491,5241
2024-05-03 11:52:00,146.2686,146.2882,146.2393,146.2882,4016
2024-05-03 11:53:00,146.2688,146.3180,146.2652,146.3180,4684
2024-05-03 11:54:00,146.3082,146.3082,146.2737,146.3082,5575
2024-05-03 11:55:00,146.3180,146.3968,146.3180,146.3968,6309
2024-05-03 11:56:00,146.3968,146.3968,146.3279,146.3476,6171
2024-05-03 11:57:00,146.3537,146.3771,146.3377,146.3476,6655
2024-05-03 11:58:00,146.3377,146.3377,146.2836,146.3082,4575
2024-05-03 11:59:00,146.3082,146.3180,146.2688,146.2737,6454
2024-05-03 12:00:00,146.2787,146.3672,146.2737,146.3476,7137
2024-05-03 12:01:00,146.3377,146.4263,146.3377,146.4066,5950
2024-05-03 12:02:00,146.4066,146.4362,146.3623,146.3869,26335
2024-05-03 12:03:00,146.3968,146.4362,146.3771,146.3771,5459
2024-05-03 12:04:00,146.3722,146.3771,146.3082,146.3476,6179
2024-05-03 12:05:00,146.3476,146.3771,146.2983,146.2993,6778
2024-05-03 12:06:00,146.3377,146.3377,146.3082,146.3082,8046
2024-05-03 12:07:00,146.3180,146.3279,146.2688,146.2737,10406
2024-05-03 12:08:00,146.2737,146.2983,146.2540,146.2688,6846
2024-05-03 12:09:00,146.2688,146.3476,146.2688,146.3476,6380
2024-05-03 12:10:00,146.3377,146.3476,146.3082,146.3377,4573
2024-05-03 12:11:00,146.3279,146.3869,146.2983,146.3672,36202
2024-05-03 12:12:00,146.3672,146.3968,146.3082,146.3180,8350
2024-05-03 12:13:00,146.3180,146.3623,146.3082,146.3082,9677
2024-05-03 12:14:00,146.3279,146.3574,146.3180,146.3477,6795
2024-05-03 12:15:00,146.3574,146.3820,146.3131,146.3377,7064
2024-05-03 12:16:00,146.3377,146.3377,146.2983,146.3082,3775
2024-05-03 12:17:00,146.3180,146.3574,146.3180,146.3574,5044
2024-05-03 12:18:00,146.3476,146.3476,146.3082,146.3279,10879
2024-05-03 12:19:00,146.3328,146.3476,146.3082,146.3082,8731
2024-05-03 12:20:00,146.3279,146.3992,146.3279,146.3968,7813
2024-05-03 12:21:00,146.3919,146.4017,146.3672,146.3869,7203
2024-05-03 12:22:00,146.3869,146.3966,146.3377,146.3574,9418
2024-05-03 12:23:00,146.3574,146.3968,146.3476,146.3820,7093
2024-05-03 12:24:00,146.3771,146.4066,146.3672,146.3869,8831
2024-05-03 12:25:00,146.3869,146.4362,146.3771,146.4362,8932
2024-05-03 12:26:00,146.4362,146.4460,146.4066,146.4066,10381
2024-05-03 12:27:00,146.4126,146.4854,146.3968,146.4657,5109
2024-05-03 12:28:00,146.4706,146.5051,146.4460,146.4460,30775
2024-05-03 12:29:00,146.4558,146.5149,146.3968,146.4460,27342
2024-05-03 12:30:00,146.4460,146.4558,146.2983,146.2983,12912
2024-05-03 12:31:00,146.2885,146.2885,146.2097,146.2294,11400
2024-05-03 12:32:00,146.2097,146.2787,146.1901,146.2688,10207
2024-05-03 12:33:00,146.3092,146.3328,146.2885,146.2983,5488
2024-05-03 12:34:00,146.3279,146.3771,146.3082,146.3771,6905
2024-05-03 12:35:00,146.3623,146.3623,146.3438,146.3476,7627
2024-05-03 12:36:00,146.3377,146.3672,146.3377,146.3574,6477
2024-05-03 12:37:00,146.3476,146.3574,146.3279,146.3574,3464
2024-05-03 12:38:00,146.3567,146.4362,146.3567,146.4362,4061
2024-05-03 12:39:00,146.4165,146.4854,146.4165,146.4509,17635
2024-05-03 12:40:00,146.4460,146.4755,146.3968,146.4263,8228
2024-05-03 12:41:00,146.4312,146.4411,146.3968,146.4017,8551
2024-05-03 12:42:00,146.3869,146.4460,146.3869,146.3968,5256
2024-05-03 12:43:00,146.3869,146.3869,146.3426,146.3672,19386
2024-05-03 12:44:00,146.3672,146.3968,146.3574,146.3672,6605
2024-05-03 12:45:00,146.3869,146.4558,146.3869,146.4460,7012
2024-05-03 12:46:00,146.4657,146.4657,146.4066,146.4066,7294
2024-05-03 12:47:00,146.4165,146.4558,146.4066,146.4066,7085
2024-05-03 12:48:00,146.4179,146.4657,146.4179,146.4362,4448
2024-05-03 12:49:00,146.4362,146.4362,146.3869,146.4165,4891
2024-05-03 12:50:00,146.4362,146.4755,146.4362,146.4558,3819
2024-05-03 12:51:00,146.4854,146.4854,146.4067,146.4067,4157
2024-05-03 12:52:00,146.4264,146.4264,146.3771,146.3869,7574
2024-05-03 12:53:00,146.3968,146.4066,146.3869,146.3941,6310
2024-05-03 12:54:00,146.3968,146.4165,146.3672,146.3771,6709
2024-05-03 12:55:00,146.3672,146.3771,146.3426,146.3771,4421
2024-05-03 12:56:00,146.3853,146.3968,146.3772,146.3968,3460
2024-05-03 12:57:00,146.3968,146.3968,146.3476,146.3476,3663
2024-05-03 12:58:00,146.3476,146.3968,146.3379,146.3968,9324
2024-05-03 12:59:00,146.4017,146.4165,146.3869,146.4066,4145
2024-05-03 13:00:00,146.4115,146.4263,146.3968,146.3968,5219
2024-05-03 13:01:00,146.3968,146.3968,146.2688,146.2885,9933
2024-05-03 13:02:00,146.2983,146.3082,146.2590,146.3082,4787
2024-05-03 13:03:00,146.2983,146.2983,146.2294,146.2491,6814
2024-05-03 13:04:00,146.2196,146.2688,146.2196,146.2688,6654
2024-05-03 13:05:00,146.2590,146.2983,146.2491,146.2885,9376
2024-05-03 13:06:00,146.3082,146.3082,146.2885,146.2951,4447
2024-05-03 13:07:00,146.3082,146.3180,146.2983,146.2983,7391
2024-05-03 13:08:00,146.2983,146.3082,146.2688,146.2885,8116
2024-05-03 13:09:00,146.2885,146.3377,146.2885,146.3377,4571
2024-05-03 13:10:00,146.3279,146.3279,146.2787,146.2983,3933
2024-05-03 13:11:00,146.3033,146.3820,146.3033,146.3574,8366
2024-05-03 13:12:00,146.3574,146.4066,146.3574,146.3869,8867
2024-05-03 13:13:00,146.3771,146.4165,146.3574,146.4066,6461
2024-05-03 13:14:00,146.3968,146.4460,146.3574,146.4460,8128
2024-05-03 13:15:00,146.4411,146.4755,146.4263,146.4362,6224
2024-05-03 13:16:00,146.4362,146.4362,146.3476,146.4165,20807
2024-05-03 13:17:00,146.4165,146.4362,146.3993,146.4263,6565
2024-05-03 13:18:00,146.4460,146.4854,146.4170,146.4755,76984
2024-05-03 13:19:00,146.4755,146.4755,146.3869,146.3869,14622
2024-05-03 13:20:00,146.3968,146.3968,146.3180,146.3584,8822
2024-05-03 13:21:00,146.3771,146.4066,146.3525,146.3771,10469
2024-05-03 13:22:00,146.3771,146.4362,146.3672,146.4312,6017
2024-05-03 13:23:00,146.4185,146.4558,146.4165,146.4558,10304
2024-05-03 13:24:00,146.4558,146.5543,146.4558,146.5198,10809
2024-05-03 13:25:00,146.5149,146.5543,146.4923,146.5149,8545
2024-05-03 13:26:00,146.5247,146.5346,146.5051,146.5346,3400
2024-05-03 13:27:00,146.5494,146.6006,146.5494,146.5838,4518
2024-05-03 13:28:00,146.5937,146.6330,146.5838,146.6200,6215
2024-05-03 13:29:00,146.6133,146.6429,146.5937,146.6429,7898
2024-05-03 13:30:00,146.6330,146.6330,146.6141,146.6232,4488
2024-05-03 13:31:00,146.6330,146.6330,146.5543,146.5543,12114
2024-05-03 13:32:00,146.5739,146.5937,146.5401,146.5937,11422
2024-05-03 13:33:00,146.5838,146.5838,146.4952,146.4952,9582
2024-05-03 13:34:00,146.5149,146.5740,146.5149,146.5642,4202
