,open_META,high_META,low_META,close_META,volume_META
2024-06-13 14:22:00,503.5783,503.8402,503.5783,503.8402,4117
2024-06-13 14:23:00,503.8574,503.9771,503.8075,503.9572,6990
2024-06-13 14:24:00,503.9373,503.9471,503.8842,503.8842,6159
2024-06-13 14:25:00,503.9472,503.9872,503.8574,503.9373,5403
2024-06-13 14:26:00,503.8679,503.8774,503.7177,503.8774,5612
2024-06-13 14:27:00,503.7876,503.8724,503.7476,503.7476,3856
2024-06-13 14:28:00,503.6976,503.6977,503.6079,503.6079,3689
2024-06-13 14:29:00,503.7177,503.8375,503.6479,503.8375,2522
2024-06-13 14:30:00,503.8495,503.9971,503.7476,503.8774,7852
2024-06-13 14:31:00,503.9273,503.9572,503.9073,503.9472,3314
2024-06-13 14:32:00,503.9572,504.0520,503.9472,503.9971,10432
2024-06-13 14:33:00,504.0271,504.2467,504.0271,504.2117,21245
2024-06-13 14:34:00,504.2467,504.2925,504.1269,504.2117,13376
2024-06-13 14:35:00,504.2150,504.2566,504.0730,504.2167,6990
2024-06-13 14:36:00,504.2067,504.3914,504.0570,504.1818,9976
2024-06-13 14:37:00,504.2167,504.2167,504.0870,504.1269,2901
2024-06-13 14:38:00,504.1077,504.1077,503.8874,503.8874,13040
2024-06-13 14:39:00,503.9471,503.9772,503.8624,503.9672,3720
2024-06-13 14:40:00,503.9971,504.0271,503.9323,504.0071,6897
2024-06-13 14:41:00,504.0670,504.1990,504.0215,504.0770,5406
2024-06-13 14:42:00,504.0870,504.1662,504.0171,504.1309,2719
2024-06-13 14:43:00,504.1668,504.1668,504.0372,504.1169,3262
2024-06-13 14:44:00,504.1223,504.2766,504.1223,504.2467,6394
2024-06-13 14:45:00,504.1769,504.2467,504.0771,504.2467,5793
2024-06-13 14:46:00,504.2367,504.3165,504.1768,504.1768,16250
2024-06-13 14:47:00,504.1668,504.2288,503.9773,504.2095,9887
2024-06-13 14:48:00,504.2167,504.2407,504.0970,504.1219,5063
2024-06-13 14:49:00,504.1219,504.2367,504.0870,504.2367,4253
2024-06-13 14:50:00,504.2067,504.2084,504.0871,504.1119,3653
2024-06-13 14:51:00,504.1968,504.2566,504.1469,504.2566,5775
2024-06-13 14:52:00,504.1668,504.1668,504.0171,504.0273,8095
2024-06-13 14:53:00,504.0071,504.0570,503.9231,503.9522,5301
2024-06-13 14:54:00,503.9522,504.0380,503.7576,503.7576,8224
2024-06-13 14:55:00,503.7330,503.7330,503.4482,503.6279,7957
2024-06-13 14:56:00,503.5854,503.7776,503.5580,503.6598,11794
2024-06-13 14:57:00,503.7077,503.8174,503.6679,503.7576,4012
2024-06-13 14:58:00,503.6678,503.9772,503.6678,503.8874,9424
2024-06-13 14:59:00,503.7881,503.8736,503.5781,503.6086,5559
2024-06-13 15:00:00,503.7277,503.7376,503.5480,503.6977,8091
2024-06-13 15:01:00,503.6396,503.7876,503.5879,503.7876,4554
2024-06-13 15:02:00,503.7077,503.7396,503.4532,503.4532,6306
2024-06-13 15:03:00,503.4782,503.6972,503.2686,503.6972,6978
2024-06-13 15:04:00,503.6678,504.0663,503.6477,503.9173,8359
2024-06-13 15:05:00,504.0471,504.0520,503.9522,504.0084,4251
2024-06-13 15:06:00,503.9572,503.9572,503.6778,503.6927,5530
2024-06-13 15:07:00,503.7776,503.9672,503.7776,503.9624,5660
2024-06-13 15:08:00,503.9173,503.9173,503.8375,503.9173,4463
2024-06-13 15:09:00,503.9373,504.0471,503.8875,503.9572,8114
2024-06-13 15:10:00,503.9572,504.0970,503.7676,504.0371,10908
2024-06-13 15:11:00,504.0970,504.2163,503.7279,503.9173,9855
2024-06-13 15:12:00,503.8025,503.8674,503.6179,503.6528,5366
2024-06-13 15:13:00,503.6528,503.7875,503.5792,503.7177,8262
2024-06-13 15:14:00,503.7277,503.7876,503.5979,503.6378,5410
2024-06-13 15:15:00,503.6678,503.6678,503.2885,503.2885,12300
2024-06-13 15:16:00,503.3734,503.4582,503.2302,503.3933,8280
2024-06-13 15:17:00,503.4582,503.7576,503.3933,503.7576,7018
2024-06-13 15:18:00,503.6358,503.7676,503.6180,503.7277,3140
2024-06-13 15:19:00,503.7177,504.0271,503.7127,503.8614,14335
2024-06-13 15:20:00,504.0271,504.1768,503.9373,504.1269,9199
2024-06-13 15:21:00,504.1219,504.1219,503.6478,503.8434,7911
2024-06-13 15:22:00,503.8300,503.8300,503.6679,503.7776,5547
2024-06-13 15:23:00,503.7227,503.8375,503.6079,503.7277,11198
2024-06-13 15:24:00,503.7776,503.8514,503.5181,503.6029,7646
2024-06-13 15:25:00,503.6129,503.8574,503.5380,503.8025,8180
2024-06-13 15:26:00,503.7876,503.8574,503.7177,503.7227,7202
2024-06-13 15:27:00,503.7396,503.8025,503.5784,503.5879,5707
2024-06-13 15:28:00,503.5580,503.7277,503.4982,503.6927,7937
2024-06-13 15:29:00,503.6927,503.6977,503.5780,503.6179,6292
2024-06-13 15:30:00,503.5480,503.6484,503.3384,503.5611,11689
2024-06-13 15:31:00,503.4582,503.5879,503.3684,503.3783,6030
2024-06-13 15:32:00,503.2786,503.7576,503.2786,503.7127,9247
2024-06-13 15:33:00,503.7276,503.7975,503.6478,503.7077,7148
2024-06-13 15:34:00,503.7576,503.7776,503.7177,503.7576,14998
2024-06-13 15:35:00,503.7676,503.7975,503.5979,503.6478,4957
2024-06-13 15:36:00,503.6977,503.8474,503.6678,503.8474,7183
2024-06-13 15:37:00,503.8075,503.9672,503.8075,503.8874,12727
2024-06-13 15:38:00,503.9073,504.0670,503.7726,503.8275,16512
2024-06-13 15:39:00,503.8973,504.0171,503.8574,503.9672,6971
2024-06-13 15:40:00,503.9728,504.2866,503.9323,504.2217,23751
2024-06-13 15:41:00,504.2067,504.3165,504.0870,504.0870,19584
2024-06-13 15:42:00,504.0770,504.1269,503.6678,503.6778,16479
2024-06-13 15:43:00,503.6678,503.7576,503.5480,503.7277,19415
2024-06-13 15:44:00,503.7536,503.9872,503.6977,503.9872,11149
2024-06-13 15:45:00,503.9722,504.0870,503.9684,504.0271,10223
2024-06-13 15:46:00,504.0570,504.1369,503.8973,503.8973,11098
2024-06-13 15:47:00,503.8973,504.0920,503.7676,504.0670,16091
2024-06-13 15:48:00,504.0670,504.0670,503.6778,503.7376,10422
2024-06-13 15:49:00,503.7277,503.8050,503.6279,503.6678,13774
