,open_ORCL,high_ORCL,low_ORCL,close_ORCL,volume_ORCL
2024-05-29 10:48:00,122.9245,122.9344,122.8951,122.9245,5633
2024-05-29 10:49:00,122.9245,122.9842,122.9046,122.9693,5587
2024-05-29 10:50:00,122.9593,122.9593,122.9245,122.9344,2143
2024-05-29 10:51:00,122.9195,122.9643,122.8946,122.9643,4753
2024-05-29 10:52:00,122.9643,122.9643,122.9145,122.9145,4734
2024-05-29 10:53:00,122.9295,122.9392,122.9046,122.9046,5431
2024-05-29 10:54:00,122.9145,122.9195,122.8946,122.9145,2781
2024-05-29 10:55:00,122.9245,122.9742,122.9245,122.9742,5982
2024-05-29 10:56:00,122.9543,123.0041,122.8648,122.8648,11873
2024-05-29 10:57:00,122.8747,122.8747,122.7852,122.8109,7912
2024-05-29 10:58:00,122.8051,122.8448,122.7852,122.8250,6238
2024-05-29 10:59:00,122.8449,122.9344,122.8449,122.9344,6446
2024-05-29 11:00:00,122.9245,122.9245,122.8946,122.9046,4647
2024-05-29 11:01:00,122.9046,122.9155,122.8449,122.8449,4804
2024-05-29 11:02:00,122.8349,122.8499,122.8200,122.8300,7644
2024-05-29 11:03:00,122.8356,122.8356,122.7892,122.7892,4036
2024-05-29 11:04:00,122.7852,122.8548,122.7852,122.8452,6021
2024-05-29 11:05:00,122.8598,122.8598,122.8150,122.8150,2692
2024-05-29 11:06:00,122.7951,122.7951,122.7255,122.7404,8435
2024-05-29 11:07:00,122.7155,122.7902,122.7056,122.7852,15641
2024-05-29 11:08:00,122.7553,122.7752,122.7354,122.7553,5156
2024-05-29 11:09:00,122.7404,122.7752,122.7056,122.7056,3706
2024-05-29 11:10:00,122.6955,122.7006,122.6459,122.6857,9579
2024-05-29 11:11:00,122.6757,122.7500,122.6757,122.7454,7509
2024-05-29 11:12:00,122.7454,122.7454,122.7056,122.7155,2789
2024-05-29 11:13:00,122.7255,122.7305,122.7255,122.7255,2083
2024-05-29 11:14:00,122.7155,122.7155,122.6757,122.6857,4487
2024-05-29 11:15:00,122.6857,122.8150,122.6857,122.8051,7688
2024-05-29 11:16:00,122.7951,122.8150,122.7951,122.7951,3097
2024-05-29 11:17:00,122.7881,122.7951,122.7653,122.7852,4673
2024-05-29 11:18:00,122.7802,122.7802,122.7752,122.7752,1484
2024-05-29 11:19:00,122.7653,122.8747,122.7653,122.8648,3800
2024-05-29 11:20:00,122.8548,122.8847,122.8548,122.8847,5924
2024-05-29 11:21:00,122.8747,122.8946,122.8747,122.8847,2255
2024-05-29 11:22:00,122.8748,122.9295,122.8648,122.9046,9206
2024-05-29 11:23:00,122.8847,122.9543,122.8847,122.9494,12142
2024-05-29 11:24:00,122.9344,123.0240,122.9344,123.0240,6059
2024-05-29 11:25:00,122.9941,123.0538,122.9941,123.0538,7769
2024-05-29 11:26:00,123.0638,123.1235,123.0538,123.1036,13641
2024-05-29 11:27:00,123.0936,123.1036,123.0837,123.0837,4928
2024-05-29 11:28:00,123.0837,123.1135,123.0737,123.0837,8671
2024-05-29 11:29:00,123.0837,123.0837,123.0041,123.0041,11734
2024-05-29 11:30:00,122.9842,122.9842,122.9444,122.9444,6277
2024-05-29 11:31:00,122.9444,122.9444,122.9218,122.9345,2100
2024-05-29 11:32:00,122.9347,122.9347,122.8946,122.9096,2165
2024-05-29 11:33:00,122.9046,122.9145,122.8648,122.9145,9501
2024-05-29 11:34:00,122.9245,122.9344,122.8848,122.8996,4961
2024-05-29 11:35:00,122.8985,122.9344,122.8848,122.9344,3995
2024-05-29 11:36:00,122.9444,122.9941,122.9344,122.9941,3299
2024-05-29 11:37:00,123.0041,123.0439,123.0041,123.0439,5386
2024-05-29 11:38:00,123.0389,123.0538,122.9941,122.9941,2877
2024-05-29 11:39:00,123.0140,123.0287,123.0041,123.0041,4274
2024-05-29 11:40:00,123.0041,123.0041,122.9901,123.0041,2772
2024-05-29 11:41:00,123.0041,123.0737,123.0041,123.0538,4819
2024-05-29 11:42:00,123.0439,123.0638,123.0339,123.0638,3940
2024-05-29 11:43:00,123.0638,123.1434,123.0638,123.0837,5348
2024-05-29 11:44:00,123.0737,123.1035,123.0638,123.0638,2882
2024-05-29 11:45:00,123.0638,123.0638,123.0439,123.0439,4254
2024-05-29 11:46:00,123.0389,123.0439,123.0240,123.0240,3466
2024-05-29 11:47:00,123.0289,123.0439,122.9792,122.9842,7148
2024-05-29 11:48:00,122.9774,123.0140,122.9742,122.9742,3070
2024-05-29 11:49:00,122.9692,122.9842,122.9195,122.9444,3360
2024-05-29 11:50:00,122.9494,123.0163,122.9494,123.0140,6576
2024-05-29 11:51:00,123.0140,123.0140,122.9941,123.0072,3520
2024-05-29 11:52:00,123.0172,123.0240,122.9941,123.0140,4005
2024-05-29 11:53:00,123.0240,123.0339,123.0240,123.0240,3154
2024-05-29 11:54:00,123.0240,123.0339,123.0240,123.0339,3620
2024-05-29 11:55:00,123.0339,123.0439,122.9842,122.9842,8059
2024-05-29 11:56:00,122.9842,123.0538,122.9842,123.0538,9252
2024-05-29 11:57:00,123.0488,123.0787,123.0041,123.0140,4918
2024-05-29 11:58:00,123.0042,123.0239,122.9803,123.0041,8108
2024-05-29 11:59:00,123.0041,123.0286,122.9742,123.0240,5395
2024-05-29 12:00:00,123.0140,123.0140,122.9046,122.9046,9925
2024-05-29 12:01:00,122.8897,122.9344,122.8847,122.9344,3747
2024-05-29 12:02:00,122.9145,122.9145,122.8946,122.8946,3656
2024-05-29 12:03:00,122.9046,122.9334,122.8847,122.9295,3372
2024-05-29 12:04:00,122.9344,122.9444,122.9046,122.9145,4256
2024-05-29 12:05:00,122.9046,122.9046,122.8747,122.8897,4368
