,open_GS,high_GS,low_GS,close_GS,volume_GS
2024-07-24 11:41:00,488.8757,489.2833,488.6769,489.1043,2273
2024-07-24 11:42:00,489.1839,489.2435,489.1839,489.2435,974
2024-07-24 11:43:00,489.2833,489.3727,489.2137,489.2137,5827
2024-07-24 11:44:00,489.2187,489.3479,488.9850,489.3479,2667
2024-07-24 11:45:00,489.4026,489.5715,489.3976,489.5715,1685
2024-07-24 11:46:00,489.3529,489.3727,489.1640,489.2137,2725
2024-07-24 11:47:00,488.7812,489.1540,488.7812,489.1540,1524
2024-07-24 11:48:00,489.1491,489.4075,489.1491,489.3723,2579
2024-07-24 11:49:00,489.4225,489.4821,489.4125,489.4821,1660
2024-07-24 11:50:00,489.3529,490.0090,489.3529,489.9991,9967
2024-07-24 11:51:00,489.9891,490.6651,489.9891,490.5359,11998
2024-07-24 11:52:00,490.4862,490.8342,490.4464,490.5732,18428
2024-07-24 11:53:00,490.5558,490.7447,490.5558,490.7447,1606
2024-07-24 11:54:00,490.6850,490.7248,490.3073,490.3073,5157
2024-07-24 11:55:00,490.3570,490.6154,490.2774,490.2774,2663
2024-07-24 11:56:00,490.2625,490.2973,490.0289,490.1730,4393
2024-07-24 11:57:00,490.3271,490.3669,490.2277,490.2675,4014
2024-07-24 11:58:00,490.4166,490.6153,490.4166,490.5508,2434
2024-07-24 11:59:00,490.4464,490.5608,490.3073,490.5508,4461
2024-07-24 12:00:00,490.7149,490.7248,490.5260,490.6453,3577
2024-07-24 12:01:00,490.7347,491.1125,490.7347,491.1125,3993
2024-07-24 12:02:00,491.1515,491.2418,491.1515,491.2418,1225
2024-07-24 12:03:00,491.0827,491.4108,491.0230,491.4108,5428
2024-07-24 12:04:00,491.4008,491.4008,491.2318,491.3809,1785
2024-07-24 12:05:00,491.2915,491.3909,491.1324,491.1324,2637
2024-07-24 12:06:00,491.1324,491.2815,490.8739,490.9236,7436
2024-07-24 12:07:00,490.7844,490.8739,490.7844,490.7844,682
2024-07-24 12:08:00,490.9286,491.0827,490.8144,490.8144,892
2024-07-24 12:09:00,490.9535,491.2517,490.9535,490.9833,7905
2024-07-24 12:10:00,490.9535,490.9535,490.8143,490.9037,1737
2024-07-24 12:11:00,490.9336,491.1921,490.9336,491.1523,5015
2024-07-24 12:12:00,491.2616,491.2815,491.1423,491.2467,2657
2024-07-24 12:13:00,491.2418,491.2616,490.8540,491.0091,6338
2024-07-24 12:14:00,490.9783,491.2219,490.9783,491.1821,1556
2024-07-24 12:15:00,491.3412,491.6991,491.3412,491.6991,6206
2024-07-24 12:16:00,491.5997,491.9377,491.5997,491.9377,5558
2024-07-24 12:17:00,491.9874,492.3254,491.8681,492.2409,4870
2024-07-24 12:18:00,492.1564,492.5739,492.0172,492.5739,23380
2024-07-24 12:19:00,492.8473,493.0909,492.2856,492.5441,11254
2024-07-24 12:20:00,492.6684,492.7628,492.4944,492.7131,4220
2024-07-24 12:21:00,492.5143,492.7190,492.4284,492.6336,2146
2024-07-24 12:22:00,492.5590,492.8324,492.5590,492.6733,3435
2024-07-24 12:23:00,492.6236,492.6733,492.3413,492.5540,4737
2024-07-24 12:24:00,492.4646,492.6932,492.1464,492.1464,3931
2024-07-24 12:25:00,492.4347,492.4447,492.2061,492.2061,4615
2024-07-24 12:26:00,492.1863,492.3950,491.9476,491.9476,3534
2024-07-24 12:27:00,492.1564,492.1564,492.1315,492.1564,1296
2024-07-24 12:28:00,492.2657,492.3254,492.1166,492.2707,2587
2024-07-24 12:29:00,492.0868,492.1464,491.9675,492.0669,1506
2024-07-24 12:30:00,491.8780,492.0669,491.8283,491.9998,4669
2024-07-24 12:31:00,491.9874,492.1067,491.5947,491.5947,3172
2024-07-24 12:32:00,491.7388,492.1067,491.6891,492.1067,4015
2024-07-24 12:33:00,491.8979,491.9824,491.4406,491.4406,4405
2024-07-24 12:34:00,491.4406,491.5251,491.2616,491.3412,1460
2024-07-24 12:35:00,491.3312,491.3809,491.1921,491.2418,1472
2024-07-24 12:36:00,491.0330,491.4008,491.0330,491.3909,1433
2024-07-24 12:37:00,491.2020,491.2219,491.1921,491.1921,2140
2024-07-24 12:38:00,491.2268,491.2268,491.0429,491.2268,1223
2024-07-24 12:39:00,491.3710,491.3710,490.7646,490.8441,1630
2024-07-24 12:40:00,490.9236,491.0628,490.9236,490.9236,1053
2024-07-24 12:41:00,490.8441,490.8441,490.7944,490.8143,514
2024-07-24 12:42:00,490.8043,491.0032,490.6552,490.6552,1921
2024-07-24 12:43:00,490.6552,490.6552,490.6304,490.6552,1135
2024-07-24 12:44:00,490.5508,490.7049,490.4862,490.7049,2531
2024-07-24 12:45:00,490.7546,490.7844,490.6950,490.7844,1588
2024-07-24 12:46:00,490.8739,491.0728,490.8739,490.9634,3797
2024-07-24 12:47:00,490.8043,491.3113,490.8043,491.2119,1527
2024-07-24 12:48:00,491.3113,491.5102,491.1622,491.1622,2313
2024-07-24 12:49:00,491.2815,491.3312,491.1722,491.3312,1560
2024-07-24 12:50:00,491.0976,491.0976,490.8441,491.0097,1721
2024-07-24 12:51:00,490.9833,490.9932,490.7844,490.9932,1708
2024-07-24 12:52:00,491.1672,491.1921,490.9833,491.1921,1470
2024-07-24 12:53:00,490.8540,491.0728,490.7248,490.8938,1591
2024-07-24 12:54:00,490.7646,490.8938,490.5657,490.5657,2470
2024-07-24 12:55:00,490.8108,490.8292,490.6195,490.7546,1050
2024-07-24 12:56:00,490.7149,490.9137,490.7149,490.9137,2009
2024-07-24 12:57:00,490.7447,490.7447,490.5359,490.6055,2118
2024-07-24 12:58:00,490.3371,490.5210,490.3371,490.5210,827
2024-07-24 12:59:00,490.4464,490.5558,490.3719,490.3719,2030
2024-07-24 13:00:00,490.3271,490.6602,490.3271,490.6602,1373
2024-07-24 13:01:00,490.5508,490.5757,490.4613,490.4613,942
2024-07-24 13:02:00,490.4604,490.4604,490.0985,490.0985,1686
2024-07-24 13:03:00,490.1184,490.2327,490.1184,490.1929,976
2024-07-24 13:04:00,490.4166,490.8143,490.4166,490.6174,3657
2024-07-24 13:05:00,490.5980,490.7347,490.5980,490.6999,1056
2024-07-24 13:06:00,490.7049,490.7049,490.5508,490.6154,1356
2024-07-24 13:07:00,490.6552,490.7347,490.6154,490.7347,819
2024-07-24 13:08:00,490.7347,490.7844,490.5160,490.5160,1806
2024-07-24 13:09:00,490.7347,490.7447,490.5757,490.5757,1301
2024-07-24 13:10:00,490.7347,490.7347,490.5806,490.6552,834
2024-07-24 13:11:00,490.6801,490.6801,490.6154,490.6552,1417
2024-07-24 13:12:00,490.5806,490.6751,490.5806,490.6552,799
2024-07-24 13:13:00,490.5657,490.5707,490.3669,490.5160,1437
2024-07-24 13:14:00,490.3371,490.3420,490.3371,490.3420,1184
2024-07-24 13:15:00,490.3470,490.5458,490.2079,490.5458,1774
2024-07-24 13:16:00,490.5309,490.9535,490.5309,490.9435,4497
2024-07-24 13:17:00,491.0230,491.0230,490.4564,490.4564,2008
2024-07-24 13:18:00,490.1283,490.2277,490.0115,490.0115,1992
2024-07-24 13:19:00,490.0488,490.0488,490.0339,490.0453,914
2024-07-24 13:20:00,489.9593,490.0488,489.7108,489.7903,2116
2024-07-24 13:22:00,490.0189,490.0189,489.9245,489.9245,646
