,open_MSFT,high_MSFT,low_MSFT,close_MSFT,volume_MSFT
2024-08-06 09:10:00,397.8283,397.9212,397.2923,397.5518,148
2024-08-06 09:11:00,397.5518,397.8014,396.9928,397.2823,1236
2024-08-06 09:12:00,397.3622,397.7714,396.7233,397.5618,1534
2024-08-06 09:13:00,397.2823,413.3736,396.9229,397.2024,228
2024-08-06 09:14:00,397.2024,397.3322,396.7033,397.1156,3181
2024-08-06 09:15:00,397.4320,397.5618,396.8331,397.1725,4094
2024-08-06 09:16:00,397.2823,397.7515,396.8930,397.6117,582
2024-08-06 09:17:00,397.7315,397.7315,397.0926,397.6217,858
2024-08-06 09:18:00,397.0427,397.5718,396.8331,397.3422,3953
2024-08-06 09:19:00,397.4670,398.0709,397.3422,397.9012,1949
2024-08-06 09:20:00,397.9860,398.1807,397.7814,397.9699,2580
2024-08-06 09:21:00,397.7914,398.1807,397.6916,397.7914,956
2024-08-06 09:22:00,398.0410,398.1508,397.7265,397.9363,433
2024-08-06 09:23:00,397.9311,397.9910,397.3122,397.4720,4064
2024-08-06 09:24:00,398.2007,398.2007,397.3222,398.2007,6372
2024-08-06 09:25:00,397.7714,400.6862,397.7714,400.4666,24914
2024-08-06 09:26:00,400.4766,400.9857,400.4267,400.9857,16145
2024-08-06 09:27:00,400.8859,401.2852,400.8060,401.0955,16604
2024-08-06 09:28:00,401.0955,401.1255,398.7796,399.6880,6405
2024-08-06 09:29:00,399.7779,399.7779,399.2987,399.3886,5909
2024-08-06 09:30:00,399.2887,400.1672,397.7914,400.1572,742119
2024-08-06 09:31:00,400.1372,400.5764,399.1490,400.4971,154757
2024-08-06 09:32:00,400.5964,401.1354,399.9675,400.7661,142667
2024-08-06 09:33:00,400.7312,400.9807,400.2071,400.6869,85923
2024-08-06 09:34:00,400.6962,400.7861,399.3191,400.2870,91656
2024-08-06 09:35:00,400.3019,401.9889,400.1073,401.5397,141880
2024-08-06 09:36:00,401.5447,401.7244,400.5465,400.8559,133550
2024-08-06 09:37:00,400.7561,400.7911,399.2787,399.3886,167095
2024-08-06 09:38:00,399.4483,400.4367,399.4483,400.4067,92499
2024-08-06 09:39:00,400.4027,400.5215,399.9775,399.9775,65095
2024-08-06 09:40:00,399.9775,400.3069,398.8695,398.8894,152333
2024-08-06 09:41:00,398.8795,399.8727,398.5121,399.2837,165949
2024-08-06 09:42:00,399.2388,399.5782,398.7547,398.7547,99876
2024-08-06 09:43:00,398.6798,399.2388,398.3304,399.1789,120847
2024-08-06 09:44:00,399.2388,399.7779,398.4203,399.4584,89062
2024-08-06 09:45:00,399.4435,399.6581,398.6249,398.6798,79366
2024-08-06 09:46:00,398.7297,399.6082,398.3777,399.5882,83926
2024-08-06 09:47:00,399.6681,400.2870,399.3087,399.9825,80467
2024-08-06 09:48:00,399.9276,400.1572,399.4694,399.5832,73084
2024-08-06 09:49:00,399.6181,399.6181,398.7896,399.3187,86044
2024-08-06 09:50:00,399.2388,399.2787,398.7397,399.0991,46720
2024-08-06 09:51:00,399.0791,399.3886,398.8495,399.3087,70397
2024-08-06 09:52:00,399.3187,401.0278,399.3187,400.9857,105494
2024-08-06 09:53:00,400.9358,401.8042,400.4966,401.5647,91238
2024-08-06 09:54:00,401.4149,401.7444,401.0855,401.0856,84345
2024-08-06 09:55:00,401.0855,401.1753,400.2271,400.7960,77746
2024-08-06 09:56:00,400.7861,401.4349,400.6140,401.4050,66406
2024-08-06 09:57:00,401.3451,401.5247,400.6962,400.7711,61584
2024-08-06 09:58:00,400.8310,400.9857,399.6980,399.8278,86833
2024-08-06 09:59:00,399.8278,399.9376,399.5183,399.7679,121327
2024-08-06 10:00:00,399.7679,399.7679,398.9593,399.0492,69288
