,open_AAPL,high_AAPL,low_AAPL,close_AAPL,volume_AAPL
2024-09-03 06:13:00,228.1500,228.1500,228.1100,228.1100,2
2024-09-03 06:14:00,228.1500,228.1500,228.1000,228.1500,48
2024-09-03 06:15:00,228.1500,228.1500,228.1500,228.1500,15
2024-09-03 06:16:00,228.1300,228.1500,228.1000,228.1000,17
2024-09-03 06:17:00,228.1300,228.1500,228.1300,228.1400,50
2024-09-03 06:18:00,228.1900,228.3400,228.1300,228.3400,992
2024-09-03 06:19:00,228.2800,228.2800,228.2100,228.2600,311
2024-09-03 06:20:00,228.2200,228.3000,228.2200,228.3000,149
2024-09-03 06:21:00,228.2300,228.2400,228.1500,228.2400,1462
2024-09-03 06:22:00,228.1600,228.1600,228.1600,228.1600,4
2024-09-03 06:23:00,228.1600,228.1700,228.0800,228.1000,232
2024-09-03 06:24:00,228.2000,228.2000,228.1000,228.2000,37
2024-09-03 06:25:00,228.0900,228.2600,228.0900,228.1700,6
2024-09-03 06:26:00,228.1800,228.3600,228.1700,228.3600,557
2024-09-03 06:27:00,228.4100,228.4100,228.2500,228.2500,321
2024-09-03 06:28:00,228.3500,228.3500,228.3500,228.3500,16
2024-09-03 06:29:00,228.4000,228.4000,228.4000,228.4000,3
2024-09-03 06:30:00,228.3500,228.3500,228.3100,228.3100,31
2024-09-03 06:31:00,228.3200,228.3200,228.3200,228.3200,8
2024-09-03 06:32:00,228.3200,228.3600,228.3200,228.3200,234
2024-09-03 06:33:00,228.3200,228.3200,228.3200,228.3200,2
2024-09-03 06:34:00,228.3200,228.3200,228.3200,228.3200,10
2024-09-03 06:35:00,228.3200,228.3200,228.1800,228.2300,424
2024-09-03 06:36:00,228.1700,228.1700,228.0700,228.0700,36
2024-09-03 06:37:00,228.1600,228.1600,228.0800,228.1000,19
2024-09-03 06:38:00,228.1600,228.1800,228.1600,228.1800,102
2024-09-03 06:39:00,228.1800,228.1800,228.0100,228.0100,398
2024-09-03 06:40:00,228.0800,228.0800,228.0800,228.0800,18
2024-09-03 06:41:00,228.0300,228.0600,228.0100,228.0500,101
2024-09-03 06:42:00,228.0400,228.1900,228.0400,228.0600,428
2024-09-03 06:43:00,228.0600,228.1100,228.0400,228.1000,54
2024-09-03 06:44:00,228.0200,228.1100,228.0200,228.1100,161
2024-09-03 06:45:00,228.1100,228.1500,228.1000,228.1000,3
2024-09-03 06:46:00,228.1600,228.1600,228.1100,228.1500,19
2024-09-03 06:47:00,228.1000,228.1000,228.0600,228.1000,11
2024-09-03 06:48:00,228.0600,228.1000,228.0600,228.1000,27
2024-09-03 06:49:00,228.0600,228.1000,228.0600,228.0600,34
2024-09-03 06:50:00,228.1000,228.1600,228.0500,228.1000,321
2024-09-03 06:51:00,228.1100,228.2100,228.1100,228.2100,462
2024-09-03 06:52:00,228.2000,228.3100,228.2000,228.2700,384
2024-09-03 06:53:00,228.2800,228.3400,228.2800,228.2800,63
2024-09-03 06:54:00,228.3000,228.3000,228.3000,228.3000,100
2024-09-03 06:55:00,228.3100,228.3100,228.2200,228.2200,532
2024-09-03 06:56:00,228.2900,228.2900,228.1800,228.1800,71
2024-09-03 06:57:00,228.1800,228.2600,228.1800,228.2400,20
2024-09-03 06:58:00,228.2000,228.2600,228.1600,228.2100,161
2024-09-03 06:59:00,228.2100,228.2100,228.1800,228.2100,338
2024-09-03 07:00:00,228.1600,228.4900,228.1300,228.3700,4725
2024-09-03 07:01:00,228.3600,228.3600,228.1700,228.2100,704
2024-09-03 07:02:00,228.2700,228.2700,228.1100,228.1500,1944
2024-09-03 07:03:00,228.1200,228.1500,228.1200,228.1500,230
2024-09-03 07:04:00,228.1300,228.1300,228.0100,228.0500,1835
2024-09-03 07:05:00,228.0200,228.0800,228.0000,228.0800,916
2024-09-03 07:06:00,228.0200,228.0200,227.8700,227.8900,3075
2024-09-03 07:07:00,227.9500,227.9500,227.8600,227.8800,231
2024-09-03 07:08:00,227.8700,227.8700,227.8600,227.8700,154
2024-09-03 07:09:00,227.8700,227.9500,227.8600,227.9500,168
2024-09-03 07:10:00,227.8600,227.9900,227.8600,227.9000,547
2024-09-03 07:11:00,227.9000,227.9100,227.8200,227.8500,521
2024-09-03 07:12:00,227.8300,227.8800,227.8100,227.8200,186
2024-09-03 07:13:00,227.8100,227.8600,227.6000,227.6000,5789
2024-09-03 07:14:00,227.6100,227.6300,227.5700,227.6000,1494
