,open_MCD,high_MCD,low_MCD,close_MCD,volume_MCD
2024-08-26 10:50:00,290.3368,290.3368,289.7253,289.7253,14287
2024-08-26 10:51:00,289.4470,289.5962,289.3774,289.4421,4320
2024-08-26 10:52:00,289.4520,289.4520,289.2383,289.3526,2189
2024-08-26 10:53:00,289.2383,289.2383,289.1687,289.1914,1558
2024-08-26 10:54:00,289.1587,289.1587,288.9400,288.9400,2174
2024-08-26 10:55:00,288.9798,288.9847,288.8614,288.9151,2470
2024-08-26 10:56:00,288.9698,288.9798,288.7810,288.7810,3546
2024-08-26 10:57:00,288.7809,288.7809,288.5721,288.5920,5370
2024-08-26 10:58:00,288.6318,288.6318,288.4926,288.5721,1562
2024-08-26 10:59:00,288.5622,288.6517,288.4926,288.5771,2183
2024-08-26 11:00:00,288.5622,288.6815,288.5324,288.5871,5733
2024-08-26 11:01:00,288.5423,288.6815,288.5125,288.5920,4349
2024-08-26 11:02:00,288.6119,288.6119,288.5026,288.5026,1082
2024-08-26 11:03:00,288.4523,288.6020,288.4523,288.5026,1594
2024-08-26 11:04:00,288.5026,288.5026,288.4131,288.4330,2714
2024-08-26 11:05:00,288.1944,288.2494,288.1944,288.2375,1359
2024-08-26 11:06:00,288.1944,288.3137,288.0552,288.2341,5505
2024-08-26 11:07:00,288.2242,288.2441,288.0850,288.0850,1615
2024-08-26 11:08:00,288.1198,288.2242,288.1198,288.2242,2992
2024-08-26 11:09:00,288.2341,288.2391,288.2341,288.2341,954
2024-08-26 11:11:00,288.1365,288.2739,288.1365,288.2739,1204
2024-08-26 11:12:00,288.2142,288.2142,287.8366,287.8366,2990
2024-08-26 11:13:00,287.8762,288.0552,287.8762,287.9856,2689
2024-08-26 11:14:00,287.9458,288.0651,287.9359,287.9955,3331
2024-08-26 11:15:00,288.0104,288.3136,288.0104,288.1446,6417
2024-08-26 11:16:00,288.1745,288.1844,288.0552,288.1745,5819
2024-08-26 11:17:00,288.0540,288.1446,288.0055,288.1446,2311
2024-08-26 11:18:00,288.1347,288.1347,287.9309,287.9309,2261
2024-08-26 11:19:00,287.9359,288.0850,287.9359,288.0850,2220
2024-08-26 11:20:00,288.0850,288.0850,287.8464,287.8464,1833
2024-08-26 11:21:00,287.9955,288.0055,287.9060,288.0055,1256
2024-08-26 11:22:00,288.0204,288.1204,287.9160,287.9160,1478
2024-08-26 11:23:00,288.0204,288.0253,287.8464,287.9458,3945
2024-08-26 11:24:00,287.8762,287.8762,287.8166,287.8166,2246
2024-08-26 11:25:00,287.9458,287.9558,287.7967,287.9558,2534
2024-08-26 11:26:00,287.9011,287.9011,287.8762,287.8762,579
2024-08-26 11:27:00,287.9999,287.9999,287.8365,287.8365,11042
2024-08-26 11:28:00,287.8673,288.2622,287.8673,288.0601,9168
2024-08-26 11:29:00,287.9856,287.9856,287.9607,287.9607,1203
2024-08-26 11:30:00,287.9756,287.9756,287.9756,287.9756,1155
2024-08-26 11:31:00,287.8444,287.9047,287.7967,287.8563,1150
2024-08-26 11:32:00,287.7867,287.9558,287.7569,287.8613,3914
2024-08-26 11:33:00,287.8613,287.8613,287.8613,287.8613,981
2024-08-26 11:34:00,287.8613,287.9259,287.7569,287.9259,1676
2024-08-26 11:35:00,287.8563,287.9359,287.7678,287.8464,3681
2024-08-26 11:36:00,287.8701,287.8701,287.7569,287.7569,2799
2024-08-26 11:37:00,287.6973,287.7072,287.4785,287.4785,2952
2024-08-26 11:38:00,287.4189,287.4686,287.1753,287.1753,9317
2024-08-26 11:39:00,287.2201,287.4288,287.1803,287.3543,9493
2024-08-26 11:40:00,287.3791,287.4189,287.3692,287.3692,2322
2024-08-26 11:41:00,287.3891,287.5084,287.3692,287.5084,5770
2024-08-26 11:42:00,287.5084,287.5879,287.5084,287.5084,1066
2024-08-26 11:43:00,287.4434,287.4437,287.3791,287.4437,1519
2024-08-26 11:44:00,287.4139,287.4139,287.3990,287.3990,684
2024-08-26 11:45:00,287.3294,287.4487,287.1306,287.2250,4195
2024-08-26 11:46:00,287.1703,287.2847,287.1703,287.2499,4167
2024-08-26 11:47:00,287.2201,287.2698,287.1455,287.1803,3717
2024-08-26 11:48:00,287.1902,287.3791,287.1753,287.3145,4571
2024-08-26 11:49:00,287.3692,287.3990,287.2300,287.2399,2111
2024-08-26 11:50:00,287.2960,287.3394,287.2399,287.2499,2920
2024-08-26 11:51:00,287.2101,287.3591,287.1902,287.3591,2857
2024-08-26 11:52:00,287.1703,287.3493,287.1703,287.2646,4257
2024-08-26 11:53:00,287.1604,287.3095,287.1306,287.1405,1815
2024-08-26 11:54:00,287.1505,287.2996,287.1206,287.1206,3772
2024-08-26 11:55:00,287.2549,287.2549,287.0709,287.0809,1657
2024-08-26 11:56:00,287.0411,287.1615,286.9715,286.9715,2251
2024-08-26 11:57:00,286.9616,286.9715,286.8721,286.9715,1833
2024-08-26 11:58:00,286.9864,287.0361,286.9019,286.9019,1962
2024-08-26 11:59:00,286.9914,287.0013,286.8820,286.9964,2165
2024-08-26 12:00:00,286.8920,287.0113,286.8920,287.0113,2109
2024-08-26 12:01:00,287.0063,287.0510,286.9317,286.9317,3571
2024-08-26 12:02:00,287.0212,287.1008,287.0113,287.0113,4266
2024-08-26 12:03:00,286.9815,287.0510,286.9317,287.0013,3070
2024-08-26 12:04:00,286.9665,286.9665,286.8522,286.8920,8071
2024-08-26 12:05:00,286.8969,286.8969,286.8522,286.8721,1707
2024-08-26 12:06:00,286.8969,286.9616,286.8423,286.8920,7179
2024-08-26 12:07:00,286.9317,286.9317,286.8621,286.8621,2602
2024-08-26 12:08:00,286.8522,286.9119,286.8522,286.9019,2020
2024-08-26 12:09:00,286.8522,286.8522,286.6534,286.8124,4476
2024-08-26 12:10:00,286.7428,286.7937,286.7130,286.7937,1737
2024-08-26 12:11:00,286.7776,286.7776,286.6633,286.6931,7169
2024-08-26 12:12:00,286.7627,286.8224,286.7528,286.7528,4917
2024-08-26 12:13:00,286.6832,286.7230,286.4446,286.4545,3981
2024-08-26 12:14:00,286.3849,286.4595,286.3800,286.3800,965
2024-08-26 12:15:00,286.4645,286.6832,286.3750,286.6434,8467
2024-08-26 12:16:00,286.6434,286.8721,286.6434,286.8671,3958
2024-08-26 12:17:00,286.8671,286.9815,286.8671,286.8920,2121
2024-08-26 12:18:00,286.8994,286.9815,286.8969,286.9784,2266
2024-08-26 12:19:00,286.9516,287.0063,286.9467,286.9467,1343
2024-08-26 12:20:00,286.9317,286.9317,286.8721,286.9119,1943
2024-08-26 12:21:00,286.8820,286.8820,286.8423,286.8572,1978
2024-08-26 12:22:00,286.9417,286.9417,286.7926,286.7926,1744
2024-08-26 12:23:00,286.9019,286.9019,286.8224,286.8224,1247
2024-08-26 12:24:00,286.8522,286.9218,286.7926,286.7926,1879
2024-08-26 12:25:00,286.7926,286.9914,286.7627,286.9914,8448
2024-08-26 12:26:00,286.9815,287.1206,286.9815,287.0660,4735
2024-08-26 12:27:00,287.0809,287.1306,287.0447,287.1306,1869
2024-08-26 12:28:00,287.0611,287.2101,287.0611,287.1107,3843
2024-08-26 12:29:00,287.0212,287.0602,286.9715,287.0237,2011
2024-08-26 12:30:00,287.0262,287.1604,286.9715,287.0212,2434
2024-08-26 12:31:00,286.9815,286.9815,286.8820,286.9019,3161
2024-08-26 12:32:00,286.9616,286.9864,286.9516,286.9516,1650
2024-08-26 12:33:00,286.9566,286.9616,286.9218,286.9467,1656
2024-08-26 12:34:00,286.9317,287.0212,286.9317,286.9765,2264
2024-08-26 12:35:00,286.9491,287.1206,286.9491,287.1057,5955
2024-08-26 12:36:00,287.0784,287.0809,287.0759,287.0809,823
2024-08-26 12:37:00,287.0809,287.1604,287.0809,287.1604,1780
2024-08-26 12:38:00,287.2002,287.2896,287.2002,287.2797,2193
2024-08-26 12:39:00,287.3195,287.4587,287.3145,287.4437,3228
2024-08-26 12:40:00,287.4338,287.4338,287.2698,287.2747,2363
2024-08-26 12:41:00,287.1703,287.2597,287.1505,287.1505,1014
2024-08-26 12:42:00,287.1505,287.2313,287.1505,287.1753,1511
2024-08-26 12:43:00,287.1803,287.1803,287.1803,287.1803,588
2024-08-26 12:44:00,287.1902,287.2399,287.1306,287.2101,2552
2024-08-26 12:45:00,287.1902,287.2051,287.1902,287.2051,915
2024-08-26 12:46:00,287.1952,287.3394,287.1952,287.3394,3770
2024-08-26 12:47:00,287.3046,287.3145,287.3046,287.3145,770
2024-08-26 12:48:00,287.3095,287.3692,287.2797,287.3692,1375
2024-08-26 12:49:00,287.3394,287.3394,287.3195,287.3195,882
2024-08-26 12:50:00,287.2822,287.3791,287.2822,287.3592,2874
2024-08-26 12:51:00,287.3642,287.4090,287.3295,287.3742,4104
2024-08-26 12:52:00,287.4189,287.4686,287.4189,287.4388,2099
2024-08-26 12:53:00,287.4288,287.4288,287.4090,287.4288,1777
2024-08-26 12:54:00,287.4338,287.4885,287.3791,287.3791,2621
2024-08-26 12:55:00,287.4587,287.4984,287.4388,287.4984,1550
2024-08-26 12:56:00,287.4487,287.4537,287.4487,287.4537,593
2024-08-26 12:57:00,287.4885,287.4885,287.2896,287.2896,1988
2024-08-26 12:58:00,287.3990,287.3990,287.3443,287.3443,1079
2024-08-26 12:59:00,287.4090,287.5481,287.4090,287.4388,3184
