,open_XOM,high_XOM,low_XOM,close_XOM,volume_XOM
2024-06-18 07:59:00,107.4106,107.4106,107.4106,107.4106,102
2024-06-18 08:00:00,107.4304,107.6387,107.1573,107.4999,854
2024-06-18 08:01:00,107.4999,107.5792,107.3808,107.5693,147
2024-06-18 08:02:00,107.5792,107.7479,107.3907,107.5792,1800
2024-06-18 08:03:00,107.7082,107.7380,107.4106,107.7380,874
2024-06-18 08:04:00,107.7380,107.7479,107.4007,107.4007,106
2024-06-18 08:05:00,107.4007,107.4007,107.4007,107.4007,5
2024-06-18 08:06:00,107.4012,107.4403,107.4012,107.4403,90
2024-06-18 08:07:00,107.4205,107.4403,107.4205,107.4403,54
2024-06-18 08:08:00,107.4304,107.4304,107.4304,107.4304,17
2024-06-18 08:09:00,107.4403,107.4403,107.4304,107.4304,2
2024-06-18 08:13:00,107.4205,107.4205,107.4205,107.4205,50
2024-06-18 08:14:00,107.4205,107.4403,107.4205,107.4205,380
2024-06-18 08:15:00,107.4403,107.4899,107.4304,107.4899,909
2024-06-18 08:16:00,107.4899,107.4899,107.4304,107.4304,352
2024-06-18 08:18:00,107.4899,107.4899,107.4800,107.4800,34
2024-06-18 08:19:00,107.4800,107.4899,107.4800,107.4899,294
2024-06-18 08:20:00,107.4899,107.4899,107.4800,107.4800,24
2024-06-18 08:21:00,107.4800,107.4899,107.4701,107.4899,3062
2024-06-18 08:22:00,107.4999,107.5792,107.4602,107.5693,307
2024-06-18 08:25:00,107.4403,107.4403,107.4403,107.4403,10
2024-06-18 08:26:00,107.5395,107.5395,107.4602,107.4602,13
2024-06-18 08:27:00,107.5395,107.5395,107.4610,107.4610,101
2024-06-18 08:28:00,107.4999,107.4999,107.4602,107.4602,3116
2024-06-18 08:29:00,107.6288,107.6288,107.4403,107.4701,529
2024-06-18 08:30:00,107.5891,107.5891,107.5098,107.5395,86
2024-06-18 08:31:00,107.5395,107.5891,107.4999,107.4999,1382
2024-06-18 08:32:00,107.6090,107.6189,107.5395,107.5395,6135
2024-06-18 08:33:00,107.5792,107.5792,107.5395,107.5395,5181
2024-06-18 08:34:00,107.5395,107.5772,107.5395,107.5772,128
2024-06-18 08:35:00,107.5792,107.5792,107.5792,107.5792,25
2024-06-18 08:36:00,107.5792,107.5792,107.5414,107.5741,271
2024-06-18 08:37:00,107.5693,107.5693,107.5693,107.5693,238
2024-06-18 08:38:00,107.5495,107.6189,107.5495,107.6189,9
2024-06-18 08:39:00,107.5495,107.5693,107.4999,107.4999,674
2024-06-18 08:40:00,107.4899,107.5594,107.4899,107.5594,360
2024-06-18 08:41:00,107.4999,107.4999,107.4602,107.4800,274
2024-06-18 08:42:00,107.4999,107.4999,107.4999,107.4999,72
2024-06-18 08:43:00,107.5495,107.5495,107.5495,107.5495,15
2024-06-18 08:44:00,107.5495,108.1893,107.4900,107.4913,124
2024-06-18 08:45:00,107.4917,107.5395,107.4899,107.5395,217
2024-06-18 08:46:00,107.5395,107.5395,107.5098,107.5395,415
2024-06-18 08:47:00,107.5197,107.5197,107.5098,107.5098,115
2024-06-18 08:48:00,107.5098,107.5098,107.4899,107.5098,217
2024-06-18 08:49:00,107.5098,107.5594,107.5098,107.5594,118
2024-06-18 08:50:00,107.4999,107.4999,107.4899,107.4899,494
2024-06-18 08:52:00,107.5395,107.5395,107.5395,107.5395,50
2024-06-18 08:53:00,107.4899,107.4899,107.3411,107.4602,5
2024-06-18 08:54:00,107.4403,107.4403,107.4205,107.4304,6
2024-06-18 08:55:00,107.4205,107.4205,107.4205,107.4205,3
2024-06-18 08:57:00,107.4205,107.4205,107.4106,107.4106,78
2024-06-18 08:58:00,107.4106,107.4106,107.3451,107.3451,26
2024-06-18 08:59:00,107.4503,107.4503,107.4503,107.4503,15
2024-06-18 09:00:00,107.4899,107.4899,107.3411,107.4503,73
2024-06-18 09:01:00,107.4106,107.4503,107.4007,107.4007,377
2024-06-18 09:02:00,107.3907,107.4403,107.3438,107.3438,167
2024-06-18 09:03:00,107.4503,107.4602,107.4304,107.4503,407
2024-06-18 09:05:00,107.4403,107.4503,107.3610,107.3610,45
2024-06-18 09:06:00,107.4403,107.4701,107.4304,107.4701,95
2024-06-18 09:07:00,107.3907,107.4999,107.3709,107.4106,218
2024-06-18 09:08:00,107.4701,107.4800,107.4701,107.4800,109
2024-06-18 09:09:00,107.4899,107.4997,107.3907,107.4997,2843
2024-06-18 09:10:00,107.4999,107.4999,107.4701,107.4701,3
2024-06-18 09:11:00,107.5495,107.5495,107.5495,107.5495,1
2024-06-18 09:12:00,107.4899,107.4899,107.3808,107.3808,6
2024-06-18 09:13:00,107.3715,107.4899,107.3715,107.4899,600
2024-06-18 09:14:00,107.4899,107.5594,107.4403,107.5594,212
2024-06-18 09:15:00,107.5495,107.6189,107.5495,107.5495,516
2024-06-18 09:16:00,107.6387,107.6387,107.6387,107.6387,15
2024-06-18 09:17:00,107.6387,107.6387,107.5792,107.5792,14
2024-06-18 09:19:00,107.6090,107.6387,107.6090,107.6387,3
2024-06-18 09:20:00,107.6090,107.6387,107.6090,107.6387,55
2024-06-18 09:21:00,107.5000,107.6387,107.4999,107.4999,16
2024-06-18 09:22:00,107.6090,107.6685,107.6090,107.6387,920
2024-06-18 09:23:00,107.6685,107.7280,107.6387,107.7280,997
2024-06-18 09:24:00,107.7280,107.7380,107.7181,107.7380,78
2024-06-18 09:25:00,107.7082,107.7380,107.7082,107.7181,122
2024-06-18 09:26:00,107.7181,107.8570,107.7082,107.8173,1891
2024-06-18 09:27:00,107.8372,108.0356,107.7776,107.9959,4609
2024-06-18 09:28:00,108.0058,108.2340,107.9066,108.2340,5196
2024-06-18 09:29:00,108.2737,108.4324,108.1348,108.4324,1656
2024-06-18 09:30:00,108.1645,108.6110,108.1348,108.4919,12744
2024-06-18 09:31:00,108.4820,108.6804,108.4820,108.5812,10287
2024-06-18 09:32:00,108.5911,108.6606,108.5514,108.6110,9126
2024-06-18 09:33:00,108.6010,108.6606,108.5812,108.6209,4994
2024-06-18 09:34:00,108.6308,109.2360,108.6159,109.1467,512095
2024-06-18 09:35:00,109.1268,109.2558,108.8987,109.1764,153584
2024-06-18 09:36:00,109.1764,109.2360,109.0872,109.2211,98692
2024-06-18 09:37:00,109.1963,109.2161,109.0296,109.1268,54674
2024-06-18 09:38:00,109.1467,109.2260,109.0475,109.1417,51074
2024-06-18 09:39:00,109.1368,109.4294,109.1070,109.4046,69972
2024-06-18 09:40:00,109.4047,109.4443,109.2756,109.3749,71860
2024-06-18 09:41:00,109.3793,109.6725,109.3793,109.6328,88066
2024-06-18 09:42:00,109.6328,109.6923,109.5633,109.5931,56609
2024-06-18 09:43:00,109.5881,109.6050,109.2657,109.2756,43695
2024-06-18 09:44:00,109.2657,109.4542,109.1864,109.4046,69086
2024-06-18 09:45:00,109.4145,109.5733,109.3550,109.5630,51716
2024-06-18 09:46:00,109.5633,109.7419,109.5633,109.7221,79672
2024-06-18 09:47:00,109.7270,109.7717,109.6824,109.6923,66636
2024-06-18 09:48:00,109.7122,109.7618,109.5633,109.6725,102997
2024-06-18 09:49:00,109.6635,109.7320,109.6328,109.6626,36809
2024-06-18 09:50:00,109.6675,109.6923,109.5534,109.6923,72422
2024-06-18 09:51:00,109.6824,109.8193,109.6824,109.7697,88468
2024-06-18 09:52:00,109.7618,109.8014,109.7221,109.7816,56731
2024-06-18 09:53:00,109.7766,109.8114,109.5832,109.8114,80319
2024-06-18 09:54:00,109.8213,109.8411,109.7360,109.7915,70693
2024-06-18 09:55:00,109.7866,109.7915,109.5633,109.6229,82311
2024-06-18 09:56:00,109.6337,109.8213,109.6328,109.7766,40507
2024-06-18 09:57:00,109.7717,109.7915,109.6129,109.6129,41074
2024-06-18 09:58:00,109.5931,109.6427,109.5435,109.5929,42522
2024-06-18 09:59:00,109.5931,109.7517,109.5733,109.6923,61578
2024-06-18 10:00:00,109.6923,109.7618,109.5733,109.7122,61351
2024-06-18 10:01:00,109.7171,109.7816,109.6725,109.7221,67822
2024-06-18 10:02:00,109.7221,109.7816,109.5832,109.6725,45817
2024-06-18 10:03:00,109.6824,109.7330,109.6626,109.7122,37025
2024-06-18 10:04:00,109.7122,109.7122,109.5137,109.5336,66830
2024-06-18 10:05:00,109.5385,109.6030,109.5088,109.5137,67848
2024-06-18 10:06:00,109.5157,109.6084,109.3848,109.3848,58845
2024-06-18 10:07:00,109.3749,109.4155,109.2955,109.4046,75053
2024-06-18 10:08:00,109.4046,109.4840,109.3401,109.4741,37315
2024-06-18 10:09:00,109.4790,109.5038,109.3848,109.4542,37983
2024-06-18 10:10:00,109.4641,109.4641,109.3451,109.4408,27938
2024-06-18 10:11:00,109.4443,109.4443,109.3550,109.4145,40436
2024-06-18 10:12:00,109.4145,109.4245,109.3054,109.3352,27205
2024-06-18 10:13:00,109.3302,109.3947,109.3302,109.3848,18942
2024-06-18 10:14:00,109.3947,109.3947,109.3054,109.3253,19809
2024-06-18 10:15:00,109.3401,109.4443,109.2955,109.4393,43233
2024-06-18 10:16:00,109.4542,109.5733,109.4046,109.5587,51108
2024-06-18 10:17:00,109.5633,109.5733,109.4443,109.4840,27255
2024-06-18 10:18:00,109.4939,109.5931,109.4741,109.5336,44409
2024-06-18 10:19:00,109.5336,109.6129,109.5238,109.6129,31312
2024-06-18 10:20:00,109.6179,109.6526,109.5485,109.6427,32187
